genre,title,URL,description,pages,rating,duration
Sci Fiction,The Stand,https://www.goodreads.com/book/show/149267.The_Stand,"For use in schools and libraries only. A monumentally devastating plague leaves only a few survivors who, in a desert world, experience dreams of good and evil in confrontation and, through their choices, move toward an actual confrontation.",842.0,,1684.0
Sci Fiction,Hyperion,https://www.goodreads.com/book/show/77566.Hyperion,"A stunning tour de force filled with transcendent awe and wonder, Hyperion is a masterwork of science fiction that resonates with excitement and invention, the first volume in a remarkable epic by the multiple-award-winning author of The Hollow Man. On the world called Hyperion, beyond the reach of galactic law, waits a creature called the Shrike. There are those who worship it. There are those who fear it. And there are those who have vowed to destroy it. In the Valley of the Time Tombs, where huge, brooding structures move backward through time, the Shrike waits for them all. On the eve of Armageddon, with the entire galaxy at war, seven pilgrims set forth on a final voyage to Hyperion seeking the answers to the unsolved riddles of their lives. Each carries a desperate hope—and a terrible secret. And one may hold the fate of humanity in his hands. Praise for Dan Simmons and Hyperion “Dan Simmons has brilliantly conceptualized a future 700 years distant. In sheer scope and complexity it matches, and perhaps even surpasses, those of Isaac Asimov and James Blish.”—The Washington Post Book World “An unfailingly inventive narrative . . . generously conceived and stylistically sure-handed.”—The New York Times Book Review “Simmons’s own genius transforms space opera into a new kind of poetry.”—The Denver Post “An essential part of any science fiction collection.”—Booklist",492.0,,984.0
Sci Fiction,The Handmaid’s Tale,https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale,"An instant classic and eerily prescient cultural phenomenon, from “the patron saint of feminist dystopian fiction” (New York Times). Now an award-winning Hulu series starring Elizabeth Moss. In this multi-award-winning, bestselling novel, Margaret Atwood has created a stunning Orwellian vision of the near future. This is the story of Offred, one of the unfortunate “Handmaids” under the new social order who have only one purpose: to breed. In Gilead, where women are prohibited from holding jobs, reading, and forming friendships, Offred’s persistent memories of life in the “time before” and her will to survive are acts of rebellion. Provocative, startling, prophetic, and with Margaret Atwood’s devastating irony, wit, and acute perceptive powers in full force, The Handmaid’s Tale is at once a mordant satire and a dire warning.",385.0,,770.0
Sci Fiction,Old Man's War,https://www.goodreads.com/book/show/51964.Old_Man_s_War,A stunning novel of the long war for human survival--in a universe replete with hostility,416.0,,832.0
Sci Fiction,All Systems Red,https://www.goodreads.com/book/show/32758901-all-systems-red,"Winner of the Hugo, Nebula, and Locus Award for Best Novella Winner of the Alex Award A New York Times and USA Today Bestseller Now an Apple Original series from Academy Award nominees Paul Weitz and Chris Weitz and starring Emmy Award winner Alexander Skarsgård. A murderous android discovers itself in All Systems Red, a tense science fiction adventure by Martha Wells that interrogates the roots of consciousness through Artificial Intelligence. “As a heartless killing machine, I was a complete failure.” In a corporate-dominated spacefaring future, planetary missions must be approved and supplied by the Company. Exploratory teams are accompanied by Company-supplied security androids, for their own safety. But in a society where contracts are awarded to the lowest bidder, safety isn’t a primary concern. On a distant planet, a team of scientists are conducting surface tests, shadowed by their Company-supplied ‘droid—a self-aware SecUnit that has hacked its own governor module, and refers to itself (though never out loud) as “Murderbot.” Scornful of humans, all it really wants is to be left alone long enough to figure out who it is. But when a neighboring mission goes dark, it's up to the scientists and their Murderbot to get to the truth. The Murderbot Diaries All Systems Red Artificial Condition Rogue Protocol Exit Strategy Network Effect Fugitive Telemetry System Collapse At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.",96.0,4.5,192.0
Sci Fiction,Rendezvous with Rama,https://www.goodreads.com/book/show/112537.Rendezvous_with_Rama,"During the twenty-second century, a space probe's investigation of a mysterious, cylindrical asteroid brings man into contact with an extra-galactic civilization",290.0,4.0,580.0
Sci Fiction,"The Long Way to a Small, Angry Planet",https://www.goodreads.com/book/show/22733729-the-long-way-to-a-small-angry-planet,No description available,416.0,,832.0
Sci Fiction,Project Hail Mary,https://www.goodreads.com/book/show/54493401-project-hail-mary,"#1 NEW YORK TIMES BESTSELLER • SOON TO BE A MAJOR MOTION PICTURE STARRING RYAN GOSLING AND DIRECTED BY CHRISTOPHER LORD AND PHIL MILLER From the author of The Martian, a lone astronaut must save the earth from disaster in this “propulsive” (Entertainment Weekly), cinematic thriller full of suspense, humor, and fascinating science. HUGO AWARD FINALIST • ONE OF THE YEAR’S BEST BOOKS: Bill Gates, GatesNotes, New York Public Library, Parade, Newsweek, Polygon, Shelf Awareness, She Reads, Kirkus Reviews, Library Journal • New York Times Readers Pick: 100 Best Books of the 21st Century “An epic story of redemption, discovery and cool speculative sci-fi.”—USA Today “If you loved The Martian, you’ll go crazy for Weir’s latest.”—The Washington Post Ryland Grace is the sole survivor on a desperate, last-chance mission—and if he fails, humanity and the earth itself will perish. Except that right now, he doesn’t know that. He can’t even remember his own name, let alone the nature of his assignment or how to complete it. All he knows is that he’s been asleep for a very, very long time. And he’s just been awakened to find himself millions of miles from home, with nothing but two corpses for company. His crewmates dead, his memories fuzzily returning, Ryland realizes that an impossible task now confronts him. Hurtling through space on this tiny ship, it’s up to him to puzzle out an impossible scientific mystery—and conquer an extinction-level threat to our species. And with the clock ticking down and the nearest human being light-years away, he’s got to do it all alone. Or does he? An irresistible interstellar adventure as only Andy Weir could deliver, Project Hail Mary is a tale of discovery, speculation, and survival to rival The Martian—while taking us to places it never dreamed of going.",497.0,3.0,994.0
Sci Fiction,Flowers for Algernon,https://www.goodreads.com/book/show/18373.Flowers_for_Algernon,Mentally retarded Charlie Gordon participates in an experiment which turns him into a genius but only temporarily.,0.0,5.0,0.0
Sci Fiction,A Fire Upon the Deep,https://www.goodreads.com/book/show/77711.A_Fire_Upon_the_Deep,"Now with a new introduction for the Tor Essentials line, A Fire Upon the Deep is sure to bring a new generation of SF fans to Vinge's award-winning works. A Hugo Award-winning Novel! “Vinge is one of the best visionary writers of SF today.”-David Brin Thousands of years in the future, humanity is no longer alone in a universe where a mind's potential is determined by its location in space, from superintelligent entities in the Transcend, to the limited minds of the Unthinking Depths, where only simple creatures, and technology, can function. Nobody knows what strange force partitioned space into these ""regions of thought,"" but when the warring Straumli realm use an ancient Transcendent artifact as a weapon, they unwittingly unleash an awesome power that destroys thousands of worlds and enslaves all natural and artificial intelligence. Fleeing this galactic threat, Ravna crash lands on a strange world with a ship-hold full of cryogenically frozen children, the only survivors from a destroyed space-lab. They are taken captive by the Tines, an alien race with a harsh medieval culture, and used as pawns in a ruthless power struggle. Tor books by Vernor Vinge Zones of Thought Series A Fire Upon The Deep A Deepness In The Sky The Children of The Sky Realtime/Bobble Series The Peace War Marooned in Realtime Other Novels The Witling Tatja Grimm's World Rainbows End Collections Collected Stories of Vernor Vinge True Names At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.",626.0,4.5,1252.0
Sci Fiction,2001: A Space Odyssey,https://www.goodreads.com/book/show/70535.2001,Science fiction-roman.,228.0,,456.0
Sci Fiction,Leviathan Wakes,https://www.goodreads.com/book/show/8855321-leviathan-wakes,"From a New York Times bestselling and Hugo award-winning author comes a modern masterwork of science fiction, introducing a captain, his crew, and a detective as they unravel a horrifying solar system wide conspiracy that begins with a single missing girl. With over 10 million copies sold, The Expanse has become one of the biggest science fiction phenomenons of the decade. Now a Prime Original series. HUGO AWARD WINNER FOR BEST SERIES Humanity has colonized the solar system—Mars, the Moon, the Asteroid Belt and beyond—but the stars are still out of our reach. Jim Holden is XO of an ice miner making runs from the rings of Saturn to the mining stations of the Belt. When he and his crew stumble upon a derelict ship, the Scopuli, they find themselves in possession of a secret they never wanted. A secret that someone is willing to kill for—and kill on a scale unfathomable to Jim and his crew. War is brewing in the system unless he can find out who left the ship and why. Detective Miller is looking for a girl. One girl in a system of billions, but her parents have money and money talks. When the trail leads him to the Scopuli and rebel sympathizer Holden, he realizes that this girl may be the key to everything. Holden and Miller must thread the needle between the Earth government, the Outer Planet revolutionaries, and secretive corporations—and the odds are against them. But out in the Belt, the rules are different, and one small ship can change the fate of the universe. ""Interplanetary adventure the way it ought to be written."" —George R. R. Martin The Expanse Leviathan Wakes Caliban's War Abaddon's Gate Cibola Burn Nemesis Games Babylon's Ashes Persepolis Rising Tiamat's Wrath ​Leviathan Falls Memory's Legion The Expanse Short Fiction Drive The Butcher of Anderson Station Gods of Risk The Churn The Vital Abyss Strange Dogs Auberon The Sins of Our Fathers",621.0,4.0,1242.0
Sci Fiction,The Hunger Games,https://www.goodreads.com/book/show/2767052-the-hunger-games,"First in the ground-breaking HUNGER GAMES trilogy. In a vision of the near future, a terrifying reality TV show is taking place. Twelve boys and twelve girls are forced to appear in a live event called The Hunger Games. There is only one rule: kill or be killed. But Katniss has been close to death before. For her, survival is second nature.",302.0,4.5,604.0
Sci Fiction,The Forever War,https://www.goodreads.com/book/show/21611.The_Forever_War,"Battling the Taurans in space was one problem as Private William Mandella worked his way up the ranks to major. In spanning the stars, he aged only months while Earth aged centuries.",218.0,,436.0
Sci Fiction,Slaughterhouse-Five,https://www.goodreads.com/book/show/4981.Slaughterhouse_Five,"A special fiftieth anniversary edition of Kurt Vonnegut’s masterpiece, “a desperate, painfully honest attempt to confront the monstrous crimes of the twentieth century” (Time), featuring a new introduction by Kevin Powers, author of the National Book Award finalist The Yellow Birds Selected by the Modern Library as one of the 100 best novels of all time Slaughterhouse-Five, an American classic, is one of the world’s great antiwar books. Centering on the infamous World War II firebombing of Dresden, the novel is the result of what Kurt Vonnegut described as a twenty-three-year struggle to write a book about what he had witnessed as an American prisoner of war. It combines historical fiction, science fiction, autobiography, and satire in an account of the life of Billy Pilgrim, a barber’s son turned draftee turned optometrist turned alien abductee. As Vonnegut had, Billy experiences the destruction of Dresden as a POW. Unlike Vonnegut, he experiences time travel, or coming “unstuck in time.” An instant bestseller, Slaughterhouse-Five made Kurt Vonnegut a cult hero in American literature, a reputation that only strengthened over time, despite his being banned and censored by some libraries and schools for content and language. But it was precisely those elements of Vonnegut’s writing—the political edginess, the genre-bending inventiveness, the frank violence, the transgressive wit—that have inspired generations of readers not just to look differently at the world around them but to find the confidence to say something about it. Authors as wide-ranging as Norman Mailer, John Irving, Michael Crichton, Tim O’Brien, Margaret Atwood, Elizabeth Strout, David Sedaris, Jennifer Egan, and J. K. Rowling have all found inspiration in Vonnegut’s words. Jonathan Safran Foer has described Vonnegut as “the kind of writer who made people—young people especially—want to write.” George Saunders has declared Vonnegut to be “the great, urgent, passionate American writer of our century, who offers us . . . a model of the kind of compassionate thinking that might yet save us from ourselves.” More than fifty years after its initial publication at the height of the Vietnam War, Vonnegut’s portrayal of political disillusionment, PTSD, and postwar anxiety feels as relevant, darkly humorous, and profoundly affecting as ever, an enduring beacon through our own era’s uncertainties.",286.0,4.0,572.0
Sci Fiction,Starship Troopers,https://www.goodreads.com/book/show/17214.Starship_Troopers,"In Robert A. Heinlein’s controversial Hugo Award-winning bestseller, a recruit of the future goes through the toughest boot camp in the Universe—and into battle against mankind’s most alarming enemy... Johnnie Rico never really intended to join up—and definitely not the infantry. But now that he’s in the thick of it, trying to get through combat training harder than anything he could have imagined, he knows everyone in his unit is one bad move away from buying the farm in the interstellar war the Terran Federation is waging against the Arachnids. Because everyone in the Mobile Infantry fights. And if the training doesn’t kill you, the Bugs are more than ready to finish the job... “A classic…If you want a great military adventure, this one is for you.”—All SciFi",290.0,,580.0
Sci Fiction,The Left Hand of Darkness,https://www.goodreads.com/book/show/18423.The_Left_Hand_of_Darkness,"50TH ANNIVERSARY EDITION—WITH A NEW INTRODUCTION BY DAVID MITCHELL AND A NEW AFTERWORD BY CHARLIE JANE ANDERS Ursula K. Le Guin’s groundbreaking work of science fiction—winner of the Hugo and Nebula Awards. A lone human ambassador is sent to the icebound planet of Winter, a world without sexual prejudice, where the inhabitants’ gender is fluid. His goal is to facilitate Winter’s inclusion in a growing intergalactic civilization. But to do so he must bridge the gulf between his own views and those of the strange, intriguing culture he encounters... Embracing the aspects of psychology, society, and human emotion on an alien world, The Left Hand of Darkness stands as a landmark achievement in the annals of intellectual science fiction.",337.0,,674.0
Sci Fiction,Childhood’s End,https://www.goodreads.com/book/show/414999.Childhood_s_End,"In the Retro Hugo Award–nominated novel that inspired the Syfy miniseries, alien invaders bring peace to Earth—at a grave price: “A first-rate tour de force” (The New York Times). In the near future, enormous silver spaceships appear without warning over mankind’s largest cities. They belong to the Overlords, an alien race far superior to humanity in technological development. Their purpose is to dominate Earth. Their demands, however, are surprisingly benevolent: end war, poverty, and cruelty. Their presence, rather than signaling the end of humanity, ushers in a golden age . . . or so it seems. Without conflict, human culture and progress stagnate. As the years pass, it becomes clear that the Overlords have a hidden agenda for the evolution of the human race that may not be as benevolent as it seems. “Frighteningly logical, believable, and grimly prophetic . . . Clarke is a master.” —Los Angeles Times",262.0,,524.0
Sci Fiction,Watchmen,https://www.goodreads.com/book/show/472331.Watchmen,"For use in schools and libraries only. In this Hugo Award-winning graphic novel exceptional graphic artwork brings to life the story of the Watchmen as they race against time to find a killer, with the fate of the world hanging in the balance.",0.0,,0.0
Sci Fiction,"I, Robot",https://www.goodreads.com/book/show/41804.I_Robot,"This classic science fiction masterwork by Isaac Asimov weaves stories about robots, humanity, and the deep questions of existence into a novel of shocking intelligence and heart. “A must-read for science-fiction buffs and literature enjoyers alike.”—The Guardian I, Robot, the first and most widely read book in Asimov’s Robot series, forever changed the world’s perception of artificial intelligence. Here are stories of robots gone mad, of mind-reading robots, and robots with a sense of humor. Of robot politicians, and robots who secretly run the world—all told with the dramatic blend of science fact and science fiction that has become Asimov’s trademark. The Three Laws of Robotics: 1) A robot may not injure a human being or, through inaction, allow a human being to come to harm. 2) A robot must obey orders given to it by human beings except where such orders would conflict with the First Law. 3) A robot must protect its own existence as long as such protection does not conflict with the First or Second Law. With these three, simple directives, Isaac Asimov formulated the laws governing robots’ behavior. In I, Robot, Asimov chronicles the development of the robot from its primitive origins in the present to its ultimate perfection in the not-so-distant future—a future in which humanity itself may be rendered obsolete. “Tremendously exciting and entertaining . . . Asimov dramatizes an interesting question: How can we live with machines that, generation by generation, grow more intelligent than their creators and not eventually clash with our own invention?”—The Chicago Tribune",239.0,4.0,478.0
Sci Fiction,Snow Crash,https://www.goodreads.com/book/show/830.Snow_Crash,"The “brilliantly realized” (The New York Times Book Review) breakthrough novel from visionary author Neal Stephenson, a modern classic that predicted the metaverse and inspired generations of Silicon Valley innovators Hiro lives in a Los Angeles where franchises line the freeway as far as the eye can see. The only relief from the sea of logos is within the autonomous city-states, where law-abiding citizens don’t dare leave their mansions. Hiro delivers pizza to the mansions for a living, defending his pies from marauders when necessary with a matched set of samurai swords. His home is a shared 20 X 30 U-Stor-It. He spends most of his time goggled in to the Metaverse, where his avatar is legendary. But in the club known as The Black Sun, his fellow hackers are being felled by a weird new drug called Snow Crash that reduces them to nothing more than a jittering cloud of bad digital karma (and IRL, a vegetative state). Investigating the Infocalypse leads Hiro all the way back to the beginning of language itself, with roots in an ancient Sumerian priesthood. He’ll be joined by Y.T., a fearless teenaged skateboard courier. Together, they must race to stop a shadowy virtual villain hell-bent on world domination.",484.0,4.0,968.0
Sci Fiction,Station Eleven,https://www.goodreads.com/book/show/20170404-station-eleven,"NATIONAL BESTSELLER • NATIONAL BOOK AWARD FINALIST • A PEN/FAULKNER AWARD FINALIST • Set in the eerie days of civilization’s collapse—the spellbinding story of a Hollywood star, his would-be savior, and a nomadic group of actors roaming the scattered outposts of the Great Lakes region, risking everything for art and humanity. • Now an original series on HBO Max. • Over one million copies sold! One of the New York Times’s 100 Best Books of the 21st Century Kirsten Raymonde will never forget the night Arthur Leander, the famous Hollywood actor, had a heart attack on stage during a production of King Lear. That was the night when a devastating flu pandemic arrived in the city, and within weeks, civilization as we know it came to an end. Twenty years later, Kirsten moves between the settlements of the altered world with a small troupe of actors and musicians. They call themselves The Traveling Symphony, and they have dedicated themselves to keeping the remnants of art and humanity alive. But when they arrive in St. Deborah by the Water, they encounter a violent prophet who will threaten the tiny band’s existence. And as the story takes off, moving back and forth in time, and vividly depicting life before and after the pandemic, the strange twist of fate that connects them all will be revealed. Look for Emily St. John Mandel’s bestselling new novel, Sea of Tranquility!",357.0,4.0,714.0
Sci Fiction,American Gods,https://www.goodreads.com/book/show/30165203-american-gods,"The complete American Gods comic book series, adapted by comics legend P. Craig Russell from the New York Times bestselling and award–winning novel by writer Neil Gaiman, in an affordable paperback omnibus edition. Shadow Moon, fresh out of jail, finds his wife dead, his life in shambles, and nowhere to turn. But a chance meeting with the mysterious Mr. Wednesday thrusts him into the center of a conflict between new and old gods, where the future of human and divine life is at stake. The Hugo, Bram Stoker, Locus, World Fantasy, and Nebula award–winning novel and hit Starz television series by NEIL GAIMAN is adapted as a graphic novel! Collecting the complete American Gods comic book series, along with art process features, high res scans of original art, layouts, character designs, and bonus art by Becky Cloonan, Skottie Young, Fabio Moon, Dave McKean, and many more! Collects American Gods: Shadows #1–#9, American Gods: My Ainsel #1–#9, and American Gods: The Moment of the Storm #1–#9.",714.0,,1428.0
Sci Fiction,"The Diamond Age: Or, a Young Lady's Illustrated Primer",https://www.goodreads.com/book/show/827.The_Diamond_Age,"Vividly imagined, stunningly prophetic, and epic in scope, The Diamond Age is a major novel from one of the most visionary writers of our time Decades into our future, a stone’s throw from the ancient city of Shanghai, a brilliant nanotechnologist named John Percival Hackworth has just broken the rigorous moral code of his tribe, the powerful neo-Victorians. He's made an illicit copy of a state-of-the-art interactive device called A Young Ladys Illustrated Primer Commissioned by an eccentric duke for his grandchild, stolen for Hackworth's own daughter, the Primer’s purpose is to educate and raise a girl capable of thinking for herself. It performs its function superbly. Unfortunately for Hackworth, his smuggled copy has fallen into the wrong hands. Young Nell and her brother Harv are thetes—members of the poor, tribeless class. Neglected by their mother, Harv looks after Nell. When he and his gang waylay a certain neo-Victorian—John Percival Hackworth—in the seamy streets of their neighborhood, Harv brings Nell something special: the Primer. Following the discovery of his crime, Hackworth begins an odyssey of his own. Expelled from the neo-Victorian paradise, squeezed by agents of Protocol Enforcement on one side and a Mandarin underworld crime lord on the other, he searches for an elusive figure known as the Alchemist. His quest and Nell’s will ultimately lead them to another seeker whose fate is bound up with the Primer—a woman who holds the key to a vast, subversive information network that is destined to decode and reprogram the future of humanity.",514.0,4.5,1028.0
Sci Fiction,The Mote in God's Eye,https://www.goodreads.com/book/show/100365.The_Mote_in_God_s_Eye,Science fiction-roman.,596.0,4.5,1192.0
Sci Fiction,Cat’s Cradle,https://www.goodreads.com/book/show/135479.Cat_s_Cradle,"A word to the reader Here is a brand new Russian translation of the novel by American writer Kurt Vonnegut "" Cat's Cradle ."" A topic that has affected the author in his book, has always been an unhealthy interest . Destruction of civilization . Repeatedly one has predicted the end of the world, even called the exact dates . Obviously, we originally were laid out in the instinct of destruction, self-destruction. For those who have not read Vonnegut's novel in the original or the old translation in Russian, we specify, that the author's lampoon was brought in his book to the very end. Eventually he turned the planet into an ice desert. Imagine ice, where you can walk barefoot, feeling the warm touch of it. However, the so-called ice-nine represented itself mortal danger . But you can look about it for yourself when you will buy this book . The main thing is, in whose hands could get, and finally got, such a substance which destroys everything - ice-nine. During the Soviet era in Russia were banned many writers . Kurt Vonnegut was not among them . But now, if you take up the old translation of the novel "" Cat's Cradle "" and compare it with the original, you can note that may be the translator ( Rita Rite- Kovalyeva ) or publishers worked with a sharp instrument in their hands, cutting and sharpening all direct ""corners,"" sounded dissonant or incompatible with the Soviet ideology . Thus, the names of Karl Marx, Stalin and even Mao Zedong disappeared from the pages of the old translation, the Communists turned into monarchists and a Soviet spy of the Ukrainian ballet Zinka became simply: "" Zika from a foreign band ."" Should pay attention to the language style of the author. It is unusual . To move the similar style in Russian language is practically impossible, but the translator R. Rite- Kovalyeva tried to do it. Nobody will blame her for it. The translation, which is offered here, executed, how it worked, according to the canons of the Russian literary language . PONY Michurinsk",198.0,,396.0
Sci Fiction,Altered Carbon,https://www.goodreads.com/book/show/40445.Altered_Carbon,"MAJOR NEW NETFLIX SERIES FEB 2018 This must-read story is a confident, action-and-violence packed thriller, and future classic noir SF novel from a multi-award-winning author. Four hundred years from now mankind is strung out across a region of interstellar space inherited from an ancient civilization discovered on Mars. The colonies are linked together by the occasional sublight colony ship voyages and hyperspatial data-casting. Human consciousness is digitally freighted between the stars and downloaded into bodies as a matter of course. But some things never change. So when ex-envoy, now-convict Takeshi Kovacs has his consciousness and skills downloaded into the body of a nicotine-addicted ex-thug and presented with a catch-22 offer, he really shouldn¿t be surprised. Contracted by a billionaire to discover who murdered his last body, Kovacs is drawn into a terrifying conspiracy that stretches across known space and to the very top of society. For a first-time SF writer to be so surely in command of narrative and technology, so brilliant at world-building, so able to write such readable and enjoyable SF adventure, is simply extraordinary.",498.0,,996.0
